epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,888.241,0.82493,0.6828,0.92933,0.99871,1,0.995,0.82645,0.69326,0.55862,0.86328,0.0011486,0.0011486,0.0011486
45,909.822,0.78319,0.65677,0.90207,0.99361,1,0.995,0.76348,0.805,0.61253,0.88832,0.0011288,0.0011288,0.0011288
46,928.874,0.76986,0.6399,0.90741,0.99361,1,0.995,0.76348,0.805,0.61253,0.88832,0.001109,0.001109,0.001109
47,949.241,0.75664,0.61117,0.88995,0.99389,1,0.995,0.7785,0.78283,0.57127,0.88884,0.0010892,0.0010892,0.0010892
48,968.903,0.78692,0.62333,0.91368,0.99959,1,0.995,0.84227,0.6429,0.51522,0.86071,0.0010694,0.0010694,0.0010694
49,988.792,0.80421,0.63396,0.92735,0.98685,0.98755,0.99487,0.83762,0.61909,0.54758,0.85622,0.0010496,0.0010496,0.0010496
50,1008.58,0.70622,0.60592,0.90086,1,0.98477,0.99474,0.8383,0.63188,0.53543,0.86018,0.0010298,0.0010298,0.0010298
51,1028.38,0.76169,0.60864,0.90928,0.99776,1,0.995,0.81032,0.69446,0.52347,0.87297,0.00101,0.00101,0.00101
52,1051.15,0.78817,0.61664,0.91742,0.99865,1,0.995,0.84466,0.63974,0.5034,0.85938,0.0009902,0.0009902,0.0009902
53,1071.82,0.71477,0.60358,0.89546,0.98574,1,0.99422,0.84524,0.59059,0.49746,0.84455,0.0009704,0.0009704,0.0009704
54,1091.16,0.74082,0.60713,0.90694,0.98574,1,0.99422,0.84524,0.59059,0.49746,0.84455,0.0009506,0.0009506,0.0009506
55,1111.68,0.67261,0.555,0.87178,0.99853,1,0.995,0.81068,0.69986,0.51264,0.85888,0.0009308,0.0009308,0.0009308
56,1131.4,0.73587,0.56738,0.91215,0.99814,1,0.995,0.77426,0.81854,0.52426,0.88083,0.000911,0.000911,0.000911
57,1153.43,0.69958,0.57743,0.88611,0.99833,1,0.995,0.79851,0.76404,0.51453,0.87308,0.0008912,0.0008912,0.0008912
58,1174.58,0.69204,0.55458,0.8906,0.99783,1,0.995,0.85371,0.63161,0.47164,0.85662,0.0008714,0.0008714,0.0008714
59,1196.75,0.72952,0.57587,0.89648,1,0.99745,0.995,0.85916,0.57216,0.51338,0.845,0.0008516,0.0008516,0.0008516
60,1219.5,0.71185,0.57949,0.88878,1,0.99771,0.995,0.85284,0.59151,0.52677,0.84774,0.0008318,0.0008318,0.0008318
61,1235.22,0.77083,0.5914,0.90617,1,0.99692,0.995,0.83736,0.65136,0.51045,0.85751,0.000812,0.000812,0.000812
62,1254.6,0.76667,0.60997,0.91999,1,0.99692,0.995,0.83736,0.65136,0.51045,0.85751,0.0007922,0.0007922,0.0007922
63,1278.85,0.73973,0.55395,0.88619,0.99836,1,0.995,0.77636,0.85215,0.53464,0.9129,0.0007724,0.0007724,0.0007724
64,1297.44,0.74544,0.56488,0.89414,0.9974,1,0.995,0.75655,0.87868,0.53321,0.91787,0.0007526,0.0007526,0.0007526
65,1317.93,0.73468,0.56601,0.9065,1,0.99418,0.995,0.82044,0.71134,0.49199,0.87076,0.0007328,0.0007328,0.0007328
66,1338.2,0.67134,0.54378,0.89526,0.99293,1,0.995,0.86876,0.55285,0.46716,0.83911,0.000713,0.000713,0.000713
67,1355.06,0.68121,0.55689,0.87666,0.98539,1,0.99474,0.87735,0.53021,0.48932,0.83535,0.0006932,0.0006932,0.0006932
68,1381.17,0.65518,0.5518,0.87954,0.99641,1,0.995,0.8656,0.54886,0.48357,0.83398,0.0006734,0.0006734,0.0006734
69,1401.49,0.64189,0.51326,0.87229,1,0.9963,0.995,0.8551,0.59024,0.46262,0.84127,0.0006536,0.0006536,0.0006536
70,1421.6,0.64754,0.5267,0.87357,1,0.9963,0.995,0.8551,0.59024,0.46262,0.84127,0.0006338,0.0006338,0.0006338
71,1443.51,0.65572,0.52613,0.88659,0.99888,1,0.995,0.85522,0.58046,0.43996,0.83883,0.000614,0.000614,0.000614
72,1464.83,0.64854,0.52432,0.87522,0.99904,1,0.995,0.85641,0.58221,0.437,0.83724,0.0005942,0.0005942,0.0005942
73,1487.29,0.63857,0.51249,0.87206,0.9991,1,0.995,0.82532,0.63882,0.44898,0.84883,0.0005744,0.0005744,0.0005744
74,1511.69,0.64795,0.52858,0.87027,0.99869,1,0.995,0.82996,0.6418,0.44318,0.84903,0.0005546,0.0005546,0.0005546
75,1532.34,0.63943,0.51662,0.8838,1,0.99729,0.995,0.85171,0.5939,0.43065,0.84136,0.0005348,0.0005348,0.0005348
76,1554.73,0.64848,0.50707,0.85693,0.9862,1,0.99487,0.84889,0.6094,0.43447,0.8441,0.000515,0.000515,0.000515
77,1575.63,0.64987,0.51052,0.8774,0.9856,1,0.99487,0.80803,0.71345,0.45059,0.86137,0.0004952,0.0004952,0.0004952
78,1596.61,0.64245,0.5016,0.88615,0.9856,1,0.99487,0.80803,0.71345,0.45059,0.86137,0.0004754,0.0004754,0.0004754
79,1617.69,0.63087,0.49756,0.86742,1,0.99819,0.995,0.81031,0.69451,0.44195,0.85798,0.0004556,0.0004556,0.0004556
80,1640.64,0.6195,0.49757,0.88021,1,0.99781,0.995,0.82206,0.67931,0.44373,0.85516,0.0004358,0.0004358,0.0004358
81,1663.21,0.63347,0.48628,0.87244,1,0.99863,0.995,0.85599,0.60891,0.43192,0.84166,0.000416,0.000416,0.000416
82,1681.58,0.61483,0.49193,0.87588,0.99925,1,0.995,0.86645,0.56398,0.42332,0.83462,0.0003962,0.0003962,0.0003962
83,1701.31,0.60735,0.47976,0.86653,0.99743,1,0.995,0.86578,0.55905,0.42321,0.83504,0.0003764,0.0003764,0.0003764
84,1723.02,0.62542,0.46635,0.86729,1,0.99908,0.995,0.87462,0.53757,0.4175,0.83212,0.0003566,0.0003566,0.0003566
85,1741.96,0.5788,0.4603,0.84555,1,0.99875,0.995,0.8799,0.51409,0.41288,0.82755,0.0003368,0.0003368,0.0003368
86,1763.49,0.59209,0.46811,0.86645,1,0.99875,0.995,0.8799,0.51409,0.41288,0.82755,0.000317,0.000317,0.000317
87,1786.73,0.5926,0.47548,0.86336,0.99612,1,0.995,0.88877,0.50101,0.4049,0.82536,0.0002972,0.0002972,0.0002972
88,1811.34,0.6279,0.47688,0.88686,0.99396,1,0.995,0.88282,0.49275,0.39918,0.82396,0.0002774,0.0002774,0.0002774
89,1829.02,0.57554,0.44866,0.85897,0.9976,1,0.995,0.87398,0.52156,0.40089,0.82864,0.0002576,0.0002576,0.0002576
90,1848.18,0.59408,0.47008,0.86573,0.9976,1,0.995,0.85652,0.57201,0.40685,0.83624,0.0002378,0.0002378,0.0002378
91,1869.34,0.55644,0.4557,0.82628,0.9979,1,0.995,0.84169,0.58914,0.40582,0.83944,0.000218,0.000218,0.000218
92,1891.58,0.57692,0.46504,0.84779,0.98538,1,0.99461,0.86655,0.57021,0.40262,0.83647,0.0001982,0.0001982,0.0001982
93,1914.22,0.54701,0.45732,0.82944,0.98542,1,0.99487,0.88064,0.53518,0.39502,0.83118,0.0001784,0.0001784,0.0001784
94,1937.84,0.5273,0.4341,0.84324,0.98542,1,0.99487,0.88064,0.53518,0.39502,0.83118,0.0001586,0.0001586,0.0001586
95,1959.45,0.5248,0.43515,0.83614,0.98518,1,0.99487,0.88448,0.52091,0.39227,0.82852,0.0001388,0.0001388,0.0001388
96,1985.26,0.51008,0.41795,0.83078,0.98561,1,0.99487,0.88602,0.51928,0.39142,0.82698,0.000119,0.000119,0.000119
97,2005.18,0.51801,0.42863,0.81674,0.99861,1,0.995,0.87857,0.52603,0.39316,0.82677,9.92e-05,9.92e-05,9.92e-05
98,2026.8,0.50899,0.41109,0.82182,0.99854,1,0.995,0.87809,0.5358,0.39307,0.82731,7.94e-05,7.94e-05,7.94e-05
99,2045.98,0.49503,0.425,0.8134,0.99849,1,0.995,0.87484,0.54419,0.39238,0.8283,5.96e-05,5.96e-05,5.96e-05
100,2065.48,0.53128,0.42399,0.84543,0.99848,1,0.995,0.87121,0.55021,0.39202,0.8292,3.98e-05,3.98e-05,3.98e-05
